0/20000, episode_reward : 0, episode_length : 2, CTR : 0.0, a_loss : 0, q_loss : 0, SCL Loss : 0×0, ICL Loss : 0×0, UCL Loss : 0×0
1/20000, episode_reward : 0, episode_length : 2, CTR : 0.0, a_loss : 0, q_loss : 0, SCL Loss : 0×0, ICL Loss : 0×0, UCL Loss : 0×0
2/20000, episode_reward : 2, episode_length : 6, CTR : 0.3333333333333333, a_loss : 0, q_loss : 0, SCL Loss : 0×0, ICL Loss : 0×0, UCL Loss : 0×0
3/20000, episode_reward : 1, episode_length : 2, CTR : 0.5, a_loss : 0, q_loss : 0, SCL Loss : 0×0, ICL Loss : 0×0, UCL Loss : 0×0
4/20000, episode_reward : 3, episode_length : 4, CTR : 0.5, a_loss : 0, q_loss : 0, SCL Loss : 0×0, ICL Loss : 0×0, UCL Loss : 0×0
5/20000, episode_reward : 1, episode_length : 8, CTR : 0.125, a_loss : 0, q_loss : 0, SCL Loss : 0×0, ICL Loss : 0×0, UCL Loss : 0×0
6/20000, episode_reward : 4, episode_length : 14, CTR : 0.2857142857142857, a_loss : -1.142958641052246, q_loss : 2.500556230545044, SCL Loss : 0×0, ICL Loss : 0×0, UCL Loss : 0×0
7/20000, episode_reward : 0, episode_length : 2, CTR : 0.0, a_loss : -4.102810859680176, q_loss : 1.2585567235946655, SCL Loss : 0×0, ICL Loss : 0×0, UCL Loss : 0×0
8/20000, episode_reward : 0, episode_length : 1, CTR : 0.0, a_loss : -2.372929096221924, q_loss : 1.4373855590820312, SCL Loss : 0×0, ICL Loss : 0×0, UCL Loss : 0×0
9/20000, episode_reward : 2, episode_length : 4, CTR : 0.25, a_loss : -1.452162265777588, q_loss : 0.25037330389022827, SCL Loss : 0×0, ICL Loss : 0×0, UCL Loss : 0×0
10/20000, episode_reward : 7, episode_length : 61, CTR : 0.09836065573770492, a_loss : -1.1987435817718506, q_loss : 0.07154148817062378, SCL Loss : 0×0, ICL Loss : 0×0, UCL Loss : 0×0
11/20000, episode_reward : 2, episode_length : 7, CTR : 0.2857142857142857, a_loss : -0.8937982320785522, q_loss : 0.05706457048654556, SCL Loss : 0×0, ICL Loss : 0×0, UCL Loss : 0×0
12/20000, episode_reward : 1, episode_length : 10, CTR : 0.1, a_loss : -0.7201128005981445, q_loss : 0.0542382150888443, SCL Loss : 0×0, ICL Loss : 0×0, UCL Loss : 0×0
13/20000, episode_reward : 4, episode_length : 13, CTR : 0.15384615384615385, a_loss : -0.9040126800537109, q_loss : 0.06175157427787781, SCL Loss : 0×0, ICL Loss : 0×0, UCL Loss : 0×0
14/20000, episode_reward : 0, episode_length : 2, CTR : 0.0, a_loss : -1.1194350719451904, q_loss : 0.09808781743049622, SCL Loss : 0×0, ICL Loss : 0×0, UCL Loss : 0×0
15/20000, episode_reward : 1, episode_length : 6, CTR : 0.16666666666666666, a_loss : -0.604306697845459, q_loss : 0.07893006503582001, SCL Loss : 0×0, ICL Loss : 0×0, UCL Loss : 0×0
16/20000, episode_reward : 0, episode_length : 5, CTR : 0.0, a_loss : -0.5536598563194275, q_loss : 0.06793240457773209, SCL Loss : 0×0, ICL Loss : 0×0, UCL Loss : 0×0
17/20000, episode_reward : 0, episode_length : 1, CTR : 0.0, a_loss : -0.6295455694198608, q_loss : 0.054625220596790314, SCL Loss : 0×0, ICL Loss : 0×0, UCL Loss : 0×0
18/20000, episode_reward : 1, episode_length : 6, CTR : 0.16666666666666666, a_loss : -0.647397518157959, q_loss : 0.049771860241889954, SCL Loss : 0×0, ICL Loss : 0×0, UCL Loss : 0×0
