0/20000, episode_reward : 1, episode_length : 10, CTR : 0.1, a_loss : 0, q_loss : 0
1/20000, episode_reward : 0, episode_length : 3, CTR : 0.0, a_loss : 0, q_loss : 0
2/20000, episode_reward : 1, episode_length : 16, CTR : 0.0625, a_loss : 0, q_loss : 0
3/20000, episode_reward : 0, episode_length : 1, CTR : 0.0, a_loss : 0, q_loss : 0
4/20000, episode_reward : 0, episode_length : 2, CTR : 0.0, a_loss : 0, q_loss : 0
5/20000, episode_reward : 1, episode_length : 9, CTR : 0.1111111111111111, a_loss : 3.004178524017334, q_loss : 0.49746569991111755
6/20000, episode_reward : 0, episode_length : 3, CTR : 0.0, a_loss : 2.230952739715576, q_loss : 0.750247061252594
7/20000, episode_reward : 0, episode_length : 6, CTR : 0.0, a_loss : -0.6430455446243286, q_loss : 0.041520122438669205
8/20000, episode_reward : 0, episode_length : 8, CTR : 0.0, a_loss : 0.47223803400993347, q_loss : 0.09010504931211472
9/20000, episode_reward : 3, episode_length : 9, CTR : 0.3333333333333333, a_loss : 1.039128065109253, q_loss : 0.07191649824380875
10/20000, episode_reward : 0, episode_length : 4, CTR : 0.0, a_loss : 0.3095081150531769, q_loss : 0.09513190388679504
11/20000, episode_reward : 3, episode_length : 4, CTR : 0.25, a_loss : 1.2131657600402832, q_loss : 0.09925408661365509
12/20000, episode_reward : 0, episode_length : 5, CTR : 0.0, a_loss : 0.2314387857913971, q_loss : 0.13105887174606323
13/20000, episode_reward : 2, episode_length : 6, CTR : 0.3333333333333333, a_loss : 0.7617309093475342, q_loss : 0.10783573240041733
14/20000, episode_reward : 2, episode_length : 30, CTR : 0.06666666666666667, a_loss : -0.09169993549585342, q_loss : 0.035482972860336304
15/20000, episode_reward : 0, episode_length : 7, CTR : 0.0, a_loss : -0.21465501189231873, q_loss : 0.045640263706445694
16/20000, episode_reward : 0, episode_length : 4, CTR : 0.0, a_loss : -0.15316180884838104, q_loss : 0.0460546538233757
17/20000, episode_reward : 2, episode_length : 11, CTR : 0.09090909090909091, a_loss : -0.09939616918563843, q_loss : 0.050080545246601105
18/20000, episode_reward : 0, episode_length : 22, CTR : 0.0, a_loss : 0.06037076562643051, q_loss : 0.02004118263721466
19/20000, episode_reward : 2, episode_length : 2, CTR : 0.5, a_loss : 0.07490287721157074, q_loss : 0.06439761072397232
20/20000, episode_reward : 4, episode_length : 9, CTR : 0.4444444444444444, a_loss : -0.32106590270996094, q_loss : 0.0627293735742569
21/20000, episode_reward : 1, episode_length : 10, CTR : 0.1, a_loss : -0.18770568072795868, q_loss : 0.04376641660928726
22/20000, episode_reward : 11, episode_length : 13, CTR : 0.15384615384615385, a_loss : -0.7613219618797302, q_loss : 0.30979323387145996
23/20000, episode_reward : 0, episode_length : 8, CTR : 0.0, a_loss : -0.2837669253349304, q_loss : 0.31206974387168884
24/20000, episode_reward : 0, episode_length : 1, CTR : 0.0, a_loss : -0.5249987840652466, q_loss : 0.4375241994857788
25/20000, episode_reward : 0, episode_length : 1, CTR : 0.0, a_loss : -0.6529414653778076, q_loss : 0.2550099790096283
26/20000, episode_reward : 5, episode_length : 13, CTR : 0.15384615384615385, a_loss : -0.24408727884292603, q_loss : 0.16805708408355713
27/20000, episode_reward : 0, episode_length : 5, CTR : 0.0, a_loss : -0.6031482219696045, q_loss : 0.18244409561157227
28/20000, episode_reward : 0, episode_length : 3, CTR : 0.0, a_loss : -0.7328115701675415, q_loss : 0.16177722811698914
